Job ID	HSV_H	HSV_S	HSV_V	GPU	Best Epoch	Top-1 Accuracy
99	0.01,	0.9999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
6	0.0,	0.7,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
167	0.02,	0.8999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
61	0.005,	0.9999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
290	0.04,	0.6,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
95	0.01,	0.8999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
14	0.0,	0.7999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
203	0.025,	0.8999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
278	0.035,	0.9999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
294	0.04,	0.7,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
300	0.04,	0.7999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
306	0.04,	0.8999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
20	0.0,	0.8999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
133	0.015,	0.9999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
242	0.03,	0.9999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
1	0.0,	0.6,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
101	0.01,	0.9999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
0	0.0,	0.6,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
132	0.015,	0.9999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
193	0.025,	0.7999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
271	0.035,	0.8999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
23	0.0,	0.8999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
206	0.025,	0.9999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
3	0.0,	0.6,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
296	0.04,	0.7,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
74	0.01,	0.6,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
145	0.02,	0.6,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
221	0.03,	0.6,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
118	0.015,	0.7,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
232	0.03,	0.7999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
88	0.01,	0.7999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
93	0.01,	0.8999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
113	0.015,	0.6,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
82	0.01,	0.7,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
98	0.01,	0.9999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
260	0.035,	0.7,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
291	0.04,	0.6,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
303	0.04,	0.7999999999999999,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
117	0.015,	0.7,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
310	0.04,	0.8999999999999999,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
181	0.025,	0.6,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
54	0.005,	0.8999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
269	0.035,	0.7999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
266	0.035,	0.7999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
224	0.03,	0.7,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
277	0.035,	0.9999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
205	0.025,	0.9999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
228	0.03,	0.7999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
78	0.01,	0.7,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
281	0.035,	0.9999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
190	0.025,	0.7,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
197	0.025,	0.7999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
254	0.035,	0.6,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
150	0.02,	0.7,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
38	0.005,	0.6,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
240	0.03,	0.9999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
270	0.035,	0.8999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
17	0.0,	0.7999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
59	0.005,	0.8999999999999999,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
73	0.01,	0.6,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
76	0.01,	0.6,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.916
62	0.005,	0.9999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.916
81	0.01,	0.7,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.899
2	0.0,	0.6,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.897
25	0.0,	0.9999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.893
187	0.025,	0.7,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.88
149	0.02,	0.6,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.833
56	0.005,	0.8999999999999999,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.827
48	0.005,	0.7999999999999999,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.824
121	0.015,	0.7999999999999999,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.814
11	0.0,	0.7,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.619
