Job ID	HSV_H	HSV_S	HSV_V	GPU	Best Epoch	Top-1 Accuracy
110	0.015,	0.0,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
158	0.02,	0.2,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
34	0.0,	0.5,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
237	0.03,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
153	0.02,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
56	0.005,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
234	0.03,	0.30000000000000004,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
275	0.035,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
163	0.02,	0.30000000000000004,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
144	0.02,	0.0,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
239	0.03,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
182	0.025,	0.0,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
116	0.015,	0.1,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
58	0.005,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
192	0.025,	0.2,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
255	0.035,	0.0,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
32	0.0,	0.5,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
249	0.03,	0.5,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
77	0.01,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
123	0.015,	0.2,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
184	0.025,	0.0,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
52	0.005,	0.2,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
12	0.0,	0.2,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
119	0.015,	0.1,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
76	0.01,	0.0,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
262	0.035,	0.1,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
13	0.0,	0.2,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
213	0.025,	0.5,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
274	0.035,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
201	0.025,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
183	0.025,	0.0,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
209	0.025,	0.4,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
37	0.005,	0.0,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
298	0.04,	0.1,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
121	0.015,	0.2,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
308	0.04,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
289	0.04,	0.0,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
208	0.025,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
42	0.005,	0.1,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
143	0.015,	0.5,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
60	0.005,	0.4,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
65	0.005,	0.4,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
107	0.01,	0.5,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
80	0.01,	0.1,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
250	0.03,	0.5,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
22	0.0,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
238	0.03,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
136	0.015,	0.4,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
288	0.04,	0.0,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
44	0.005,	0.1,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
46	0.005,	0.1,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
215	0.025,	0.5,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
217	0.03,	0.0,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
49	0.005,	0.2,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
220	0.03,	0.0,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
24	0.0,	0.4,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
16	0.0,	0.2,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
168	0.02,	0.4,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
199	0.025,	0.30000000000000004,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
311	0.04,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
156	0.02,	0.2,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
322	0.04,	0.5,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
15	0.0,	0.2,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
69	0.005,	0.5,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
31	0.0,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
142	0.015,	0.5,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
173	0.02,	0.4,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
70	0.005,	0.5,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
258	0.035,	0.1,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
321	0.04,	0.5,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
29	0.0,	0.4,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
159	0.02,	0.2,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
94	0.01,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
198	0.025,	0.30000000000000004,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
253	0.035,	0.0,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
293	0.04,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
252	0.035,	0.0,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
134	0.015,	0.4,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
120	0.015,	0.2,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
216	0.03,	0.0,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
233	0.03,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
114	0.015,	0.1,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
257	0.035,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
92	0.01,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
126	0.015,	0.30000000000000004,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
283	0.035,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
75	0.01,	0.0,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
261	0.035,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
211	0.025,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
79	0.01,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
103	0.01,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
99	0.01,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
86	0.01,	0.2,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
138	0.015,	0.5,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
191	0.025,	0.1,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
6	0.0,	0.1,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
167	0.02,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
61	0.005,	0.4,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
290	0.04,	0.0,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
66	0.005,	0.5,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
95	0.01,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
14	0.0,	0.2,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
203	0.025,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
278	0.035,	0.4,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
294	0.04,	0.1,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
300	0.04,	0.2,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
148	0.02,	0.0,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
20	0.0,	0.30000000000000004,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
81	0.01,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
133	0.015,	0.4,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
242	0.03,	0.4,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
1	0.0,	0.0,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
101	0.01,	0.4,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
247	0.03,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
0	0.0,	0.0,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
187	0.025,	0.1,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
132	0.015,	0.4,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
193	0.025,	0.2,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
271	0.035,	0.30000000000000004,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
109	0.015,	0.0,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
23	0.0,	0.30000000000000004,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
206	0.025,	0.4,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
179	0.02,	0.5,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
319	0.04,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
135	0.015,	0.4,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
3	0.0,	0.0,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
296	0.04,	0.1,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
74	0.01,	0.0,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
145	0.02,	0.0,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
174	0.02,	0.5,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
221	0.03,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
118	0.015,	0.1,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
282	0.035,	0.5,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
39	0.005,	0.0,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
88	0.01,	0.2,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
93	0.01,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
113	0.015,	0.0,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
40	0.005,	0.0,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
82	0.01,	0.1,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
98	0.01,	0.4,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
260	0.035,	0.1,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
303	0.04,	0.2,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
175	0.02,	0.5,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
33	0.0,	0.5,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
117	0.015,	0.1,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
129	0.015,	0.30000000000000004,	0.30000000000000004,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
310	0.04,	0.30000000000000004,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
181	0.025,	0.0,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
54	0.005,	0.30000000000000004,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
2	0.0,	0.0,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
269	0.035,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
224	0.03,	0.1,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
277	0.035,	0.4,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
205	0.025,	0.4,	0.1,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
228	0.03,	0.2,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
78	0.01,	0.1,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
281	0.035,	0.4,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
102	0.01,	0.5,	0.0,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
190	0.025,	0.1,	0.4,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
248	0.03,	0.5,	0.2,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
197	0.025,	0.2,	0.5,	NVIDIA GeForce RTX 2080 Ti	N/A	0.923
